name,website,hq_or_local_address,areas_served,scale,years_in_business,google_rating,google_review_count,facebook_url,facebook_followers,instagram_url,instagram_followers,youtube_url,tiktok_url,bbb,major_services,termite_offering,recurring_program,specialty_services,guarantees,promotions,advertised_pricing,customer_reported_pricing,online_booking,chat,website_quality_notes,differentiators,overlap_with_bt,sources,date_accessed
Carolina Exterminators,Unknown,"500 Lucas Ave, Rocky Point, NC 28457","Directory: Castle Hayne Burgaw Wilmington Hampstead Leland Maple Hill Wrightsville Wallace Holly Ridge",Local,25+ years (customer-reported Robert),5/5 PestControlReviews,7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown beyond pest,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Affordable (customer-reported),Unknown,Unknown,Directory-only web presence,Rocky Point hometown inside B&T Pender list,Direct,NCPMA; pestcontrolreviews.com Rocky Point,2026-08-23
Best Pest Management,https://bestpestmanagementnc.com/,"802 Barbon Beck Ln, Leland, NC 28451; (910) 553-1063; Scott Douglas and Zac Ahrens",Pender New Hanover Brunswick,Local small,Unknown,Unknown (handful of Yelp/MapQuest),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"General pest mosquito yard flea tick termite bonds/treatments flies fire ants German roach hornet/wasp rodent",Yes treatments and bonds,Implied,Owner-tech model,30-day revisit/re-treat free,Unknown,Best Price slogan; no dollars,Unknown,Quote/phone,Unknown,Small-business WordPress copyright 2023,30-day guarantee; Brunswick-Pender into Wilmington,Direct,bestpestmanagementnc.com; Nextdoor; NCPMA,2026-08-23
Avid Pest Pro,Unknown,Winnabow NC (NCPMA),Brunswick adjacent to Wilmington; B&T city dispatch Unknown,Local,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NCPMA edge-market member,Adjacent,NCPMA member list Feb 8 2024,2026-08-23
Bugs Etc Inc,https://fleamaxx.com/,"5751 Oleander Drive Suite 3, Wilmington, NC 28403; (910) 799-0746",Wilmington area since 1994,Local,Since 1994,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"DIY products FleaMaxx plus professional operators; fire ants termites fleas roaches carpenter bees ticks",Yes,Unknown,Retail DIY Pest Depot,FleaMaxx 1-year flea guarantee,Unknown,Unknown,Unknown,Store + service,Unknown,Dated Suffusion theme,Steals DIY segment plus offers service,Direct,fleamaxx.com; pestcontrolreviews.com,2026-08-23
All American Pest Control Company LLC,Unknown,"208-A Jacob Dr, Morehead City, NC 28557; also Beaufort; (252) 726-8899; Lic 1526PW",Crystal Coast; overlap Newport Cape Carteret Cedar Point Swansboro fringe,Local,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not accredited,Residential/commercial pest and termite,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Crystal Coast NCPMA member,Direct Carteret,BBB Morehead; NCPMA,2026-08-23
Professional Pest Services Inc,Unknown,Morehead City NC (NCPMA),Crystal Coast overlap,Local,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NCPMA Morehead member,Direct Carteret,NCPMA member list,2026-08-23
East Coast Pest Control of NC,Unknown,Atlantic Beach NC (NCPMA),Carteret overlap Cape Carteret Newport Cedar Point,Local,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NCPMA Atlantic Beach member,Direct Carteret,NCPMA member list,2026-08-23
The X-Team Termite and Pest Control,Unknown,New Bern NC (NCPMA),May reach Maysville/Jones and eastern Onslow; dispatch Unknown,Local,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NCPMA New Bern member,Adjacent,NCPMA member list,2026-08-23
Helping Hands Pest Control,Unknown,New Bern NC (NCPMA),Overlap Unknown,Local,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NCPMA New Bern member,Adjacent,NCPMA member list,2026-08-23
River Pest,Unknown,New Bern NC (NCPMA),Overlap Unknown,Local,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NCPMA New Bern member,Adjacent,NCPMA member list,2026-08-23
Wildlife Removal Professionals,https://wilmingtonwildliferemoval.com/,Wilmington / New Hanover; (910) 933-0393,New Hanover,Local specialist,Unknown exact,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Squirrels raccoons skunks rats mice opossums snakes bats birds; repair exclusion attic chimney 32-point inspection; 24/7; same-day/next-day",No,Unknown,24/7 wildlife-only,Unknown,Unknown,Unknown,Unknown,Phone quote,Unknown,Specialist site,24/7 wildlife vs bundled pest companies,Direct Wilmington,wilmingtonwildliferemoval.com,2026-08-23
